occupation_item_id	count	text_data	context	class_type
38126150	830	housewife	married family member whose main occupation is running or managing the family's home (for unmarried use Q1934684)	occupation
2775569	161	railroad engineer	person who operates a train on a railroad or railway	occupation
1757008	357	assistant director	film crew member	occupation
1996635	116	optician	dispenser of eyeglasses and contact lenses	occupation
3482594	37	showgirl	a performer who highlights their physical attributes through dance and movement	occupation
63755400	1188			occupation
4958876	97	dean	cleric holding certain positions of authority within a religious hierarchy	occupation
56033776	38			occupation
852718	43	tinsmith	person who makes and works with tin	occupation
16632329	3	systemic therapist		occupation
37110	8	pharaoh	ruler of Ancient Egypt	occupation
845929	21	pretender	someone who claims a relation to a throne	occupation
3109381	47	gem engraver	occupation engaging in creating cameos and intaglio carvings on the surface of gems	occupation
19746576	408	player of Basque pelota	sportsperson	occupation
18176481	17	biogeochemist		occupation
10333969	436	museologist	specialist on museology	occupation
1716419	16	turner	profession	occupation
11336312	312	professional baseball player		occupation
11645911	2	baseball commentator		occupation
11611980	5	Nōgaku artist	thespian specializing in nōgaku (noh, kyōgen, shiki-sanban)	occupation
15958754	393	broadcaster	person working in broadcasting	occupation
7621877	31	strategist	person with responsibility for the formulation and implementation of a strategy	occupation
780596	581	art exhibition curator	person in charge of organising an exhibition	occupation
21512362	68	jihadist	combattant in the name of Jihadism	occupation
61996187	62	classical pianist	pianist who is formally trained in and plays classical music	occupation
27503001	51	professional athlete		occupation
335954	9	Strategos	Greek military and politician function	occupation
615514	7	Chorbishop	position	occupation
139648	36	technology evangelist	a person who builds a critical mass of support for a given technology,	occupation
201948	91	sniper	highly trained marksman	occupation
17769800	54	slave trader	merchant specialized in the slave trade	occupation
10659189	65	robber	criminal	occupation
11424604	286	earth scientist	scientist that studies earth sciences	occupation
1863064	506	accordionist	someone who plays the accordion	occupation
3114821	25	high priest	supreme priest in several ancient religions	occupation
20857490	424	pastellist	artist who specializes in making pastels	occupation
21169216	6	actress	female actor	occupation
508846	65	truck driver	person who earns a living as the driver of a truck	occupation
1332289	1	black hat	computer hacker with malicious intent	occupation
1111648	145	colorist	responsible for adding color to black-and-white line art	occupation
58806364	1	Queen consort of Castile	title of the consort of the King of Castile	occupation
20880370	1	Musicians	anonymous painting	occupation
11625245	6	Rangaku scholar		occupation
18810149	89	stenographer	occupation	occupation
184951	202	pasha	title of the highest civil and military officials in the Ottoman Empire	occupation
16023925	135	storyteller	one who tells stories (not a narrator)	occupation
1360697	11	Wundarzt	surgeon; a term used from the Middle Ages to the 2nd half of the 19th century	occupation
4839644	174	background artist	the one in charge with color, style, and mood of a scene in animation film production	occupation
28110454	178	layout artist	the one in charge with the picture's appearance (staging, background design, camera positions, lighting) in animation film production	occupation
20971250	83	film historian	profession	occupation
27514986	55	goguettier	goguette singer	occupation
18814798	121	wheelchair tennis player	sportsperson who plays wheelchair tennis	occupation
10370560	141	sertanista		occupation
37311684	30	book historian		occupation
6399436	153	VJ	music video jockey on music television	occupation
107198	52	barber	person whose occupation is mainly to cut, dress, groom, style and shave males' hair	occupation
864835	107	biotechnologist	profession	occupation
178521	137	cowboy	animal herder	occupation
28032923	2	paper hanger	profession; installation of wallpaper	occupation
865851	35	supermodel	profession	occupation
1153622	14	kunoichi	female ninja	occupation
16358610	68	instructor	person who teaches others	occupation
7581768	16	spymaster	leader of a spy ring	occupation
2085381	76	publisher	organisation that prints and distributes pressed goods or electronic media	occupation
11814411	168	documentarian	author of documentaries	occupation
1487	45	hacker	computing term with a variety of meanings	occupation
808266	346	bartender	person who serves usually alcoholic beverages behind the bar in a licensed establishment	occupation
975834	5	quartermaster	army supply officer or naval rank	occupation
3237618	93	wardrobe stylist	someone who selects the clothing for publications or public appearances	occupation
2488257	25	magician	someone who uses or practices magic that derives from supernatural or occult sources	occupation
13472752	37	valet	male domestic workers and personal attendants to their employer	occupation
56027752	67	intelligence analyst	military occupation	occupation
53753884	8	planetary geologist	scientist who studies the geology of planets	occupation
16738642	23	gemologist	person who studies natural and artificial gems and gemstones	occupation
1954956	290	musical theatre actor	actor and singer performing in musical theatre	occupation
2029179	142	father	monk who was ordained a priest	occupation
61982	30	daimyo	powerful territorial lord in pre-modern Japan	occupation
1413170	415	bookbinder	profession	occupation
305012	72	chocolatier	someone who makes confectionery from chocolate	occupation
853982	43	coadjutor bishop	position	occupation
160845	3	sociolinguistics	study of language use and its effects on society	occupation
1298794	87	dubbing director	person overseeing the dubbing of a film or series	occupation
3745071	218	science writer		occupation
1154500	515	weather presenter	person who presents the weather forecast on television	occupation
19409136	4			occupation
12270170	20	mutakallim	Muslim theologian	occupation
1056310	17	subdeacon	profession	occupation
2063178	8	prince-abbot	cleric who is a Prince of the Church, in the sense of an ex officio temporal lord of a feudal entity (e.g. a State of the Holy Roman Empire)	occupation
721051	41	referee	authority figure in professional wrestling	occupation
